Days,Stock Price
1,0
2,-1
3,-2
4,-1
5,1
6,1
7,2
8,0
9,-2
10,-2
11,0
12,2
13,3
14,5
15,5
16,5
17,3
18,5
19,6
20,4
21,6
22,6
23,4
24,5
25,4
26,6
27,7
28,8
29,10
30,8
31,7
32,6
33,5
34,5
35,7
36,8
37,7
38,7
39,8
40,10
41,9
42,9
43,10
44,12
45,12
46,13
47,15
48,17
49,17
50,17
51,16
52,17
53,19
54,19
55,21
56,21
57,20
58,20
59,20
60,20
61,22
62,24
63,26
64,24
65,25
66,23
67,24
68,22
69,23
70,22
71,21
72,20
73,19
74,18
75,19
76,17
77,19
78,19
79,21
80,22
81,24
82,22
83,24
84,22
85,24
86,25
87,25
88,24
89,24
90,22
91,23
92,22
93,21
94,23
95,24
96,26
97,24
98,24
99,23
100,21
101,19
102,19
103,18
104,17
105,19
106,21
107,20
108,21
109,20
110,20
111,22
112,22
113,23
114,24
115,24
116,26
117,27
118,27
119,27
120,25
121,25
122,26
123,27
124,28
125,28
126,27
127,29
128,31
129,29
130,28
131,30
132,29
133,30
134,31
135,33
136,35
137,37
138,38
139,36
140,37
141,35
142,37
143,35
144,33
145,33
146,31
147,29
148,29
149,29
150,29
151,31
152,30
153,28
154,28
155,30
156,28
157,26
158,24
159,26
160,27
161,26
162,25
163,24
164,24
165,26
166,24
167,23
168,21
169,22
170,21
171,22
172,21
173,19
174,21
175,20
176,22
177,21
178,20
179,21
180,22
181,21
182,21
183,23
184,24
185,23
186,21
187,19
188,19
189,17
190,17
191,15
192,17
193,18
194,19
195,18
196,20
197,21
198,23
199,25
200,27
201,26
202,24
203,24
204,25
205,24
206,25
207,23
208,23
209,23
210,24
211,22
212,23
213,22
214,21
215,22
216,22
217,21
218,23
219,22
220,23
221,22
222,23
223,23
224,22
225,21
226,19
227,17
228,17
229,15
230,14
231,15
232,14
233,13
234,11
235,10
236,12
237,13
238,12
239,11
240,9
241,7
242,8
243,6
244,5
245,7
246,9
247,7
248,7
249,5
250,5
251,6
252,7
253,7
254,7
255,9
256,11
257,12
258,11
259,12
260,10
261,12
262,11
263,12
264,13
265,12
266,14
267,14
268,13
269,12
270,14
271,16
272,17
273,17
274,19
275,18
276,20
277,18
278,17
279,16
280,16
281,14
282,16
283,14
284,15
285,15
286,14
287,16
288,16
289,16
290,16
291,16
292,18
293,19
294,17
295,17
296,16
297,18
298,20
299,20
300,20
301,18
302,19
303,17
304,15
305,16
306,17
307,19
308,17
309,15
310,15
311,16
312,16
313,16
314,14
315,12
316,11
317,11
318,10
319,8
320,7
321,8
322,8
323,6
324,7
325,9
326,9
327,8
328,6
329,8
330,7
331,5
332,7
333,9
334,7
335,9
336,11
337,13
338,11
339,11
340,10
341,11
342,9
343,10
344,10
345,10
346,9
347,7
348,9
349,11
350,9
351,10
352,8
353,10
354,11
355,9
356,10
357,11
358,11
359,9
360,9
361,7
362,5
363,6
364,8
365,9
366,7
367,6
368,8
369,6
370,7
371,5
372,6
373,4
374,2
375,2
376,2
377,3
378,3
379,5
380,3
381,3
382,3
383,1
384,0
385,0
386,-2
387,-3
388,-5
389,-3
390,-3
391,-1
392,1
393,3
394,1
395,0
396,0
397,-2
398,0
399,-1
400,-1
401,1
402,2
403,3
404,5
405,4
406,2
407,3
408,2
409,3
410,5
411,6
412,4
413,5
414,6
415,8
