Days,Stock Price
1,0
2,-1
3,1
4,2
5,4
6,6
7,6
8,5
9,5
10,7
11,6
12,5
13,5
14,3
15,3
16,5
17,3
18,3
19,2
20,4
21,5
22,6
23,5
24,4
25,2
26,2
27,1
28,3
29,4
30,4
31,5
32,5
33,3
34,3
35,1
36,-1
37,0
38,2
39,1
40,0
41,2
42,4
43,4
44,5
45,7
46,6
47,7
48,7
49,8
50,7
51,6
52,8
53,8
54,10
55,8
56,8
57,7
58,6
59,8
60,7
61,5
62,5
63,6
64,5
65,4
66,3
67,2
68,4
69,4
70,6
71,6
72,5
73,6
74,8
75,8
76,10
77,11
78,11
79,10
80,9
81,7
82,9
83,9
84,9
85,10
86,11
87,11
88,11
89,10
90,9
91,7
92,7
93,8
94,10
95,8
96,7
97,7
98,8
99,6
100,8
101,8
102,9
103,10
104,10
105,12
106,10
107,9
108,9
109,11
110,9
111,8
112,10
113,12
114,13
115,13
116,11
117,12
118,11
119,13
120,11
121,11
122,13
123,15
124,15
125,16
126,18
127,19
128,19
129,21
130,19
131,19
132,18
133,16
134,16
135,14
136,12
137,14
138,13
139,15
140,16
141,17
142,17
143,17
144,18
145,17
146,16
147,17
148,16
149,16
150,16
151,15
152,14
153,15
154,13
155,14
156,14
157,13
158,14
159,13
160,11
161,13
162,14
163,15
164,14
165,14
166,15
167,16
168,15
169,15
170,16
171,18
172,16
173,16
174,16
175,14
176,15
177,13
178,14
179,14
180,15
181,15
182,16
183,15
184,14
185,13
186,13
187,11
188,11
189,9
190,8
191,6
192,5
193,5
194,6
195,7
196,9
197,11
198,10
199,9
200,8
201,7
202,7
203,8
204,10
205,9
206,11
207,13
208,13
209,15
210,14
211,14
212,14
213,14
214,15
215,13
216,14
217,12
218,12
219,10
220,11
221,9
222,9
223,8
224,8
225,7
226,6
227,8
228,6
229,7
230,7
231,8
232,7
233,9
234,8
235,8
236,7
237,7
238,7
239,8
240,8
241,6
242,6
243,5
244,5
245,3
246,2
247,2
248,3
249,1
250,2
251,3
252,1
253,-1
254,1
255,2
256,3
257,2
258,2
259,0
260,-1
261,-2
262,-1
263,-1
264,-3
265,-3
266,-3
267,-4
268,-2
269,-3
270,-4
271,-5
272,-6
273,-5
274,-5
275,-6
276,-4
277,-6
278,-5
279,-3
280,-5
281,-4
282,-4
283,-5
284,-6
285,-7
286,-8
287,-6
288,-4
289,-6
290,-8
291,-10
292,-11
293,-13
294,-15
295,-16
296,-14
297,-14
298,-13
299,-11
300,-10
301,-8
302,-8
303,-9
304,-8
305,-8
306,-8
307,-6
308,-6
309,-7
310,-9
311,-11
312,-9
313,-9
314,-10
315,-10
316,-12
317,-12
318,-12
319,-12
320,-10
321,-8
322,-8
323,-10
324,-11
325,-9
326,-10
327,-11
328,-12
329,-13
330,-13
331,-14
332,-13
333,-11
334,-10
335,-9
336,-8
337,-8
338,-6
339,-7
340,-6
341,-4
342,-5
343,-7
344,-6
345,-4
346,-4
347,-6
348,-5
349,-6
350,-6
351,-6
352,-6
353,-6
354,-4
355,-2
356,-3
357,-3
358,-5
359,-7
360,-8
361,-6
362,-7
363,-5
364,-7
365,-8
366,-6
367,-4
368,-2
369,-1
370,-3
371,-1
372,1
373,2
374,1
375,3
376,5
377,7
378,9
379,9
380,9
381,11
382,10
383,8
384,7
385,5
386,4
387,6
388,8
389,9
390,11
